symbol,sector,entry_date,entry_price,setup_type,confidence_at_entry,position_pct,stop_loss,target_1,target_2,trailing_stop,highest_price,current_price,unrealized_pnl_pct,days_held,current_action,exit_date,exit_price,exit_reason,status
KIRLOSENG.NS,Unknown,2026-06-24,2483.60,LEGACY_IMPORTED,0,0,2334.58,2707.12,2880.98,2334.58,2483.60,2483.60,0.00,0,HOLD,,,,ACTIVE
LAURUSLABS.NS,Unknown,2026-06-24,1474.30,LEGACY_IMPORTED,0,0,1385.84,1606.99,1710.19,1385.84,1474.30,1474.30,0.00,0,HOLD,,,,ACTIVE
WELCORP.NS,Unknown,2026-06-24,1410.50,LEGACY_IMPORTED,0,0,1325.87,1537.45,1636.18,1325.87,1410.50,1410.50,0.00,0,HOLD,,,,ACTIVE
EMCURE.NS,Unknown,2026-06-24,1814.20,LEGACY_IMPORTED,0,0,1705.35,1977.48,2104.47,1705.35,1814.20,1814.20,0.00,0,HOLD,,,,ACTIVE
GLAND.NS,Unknown,2026-06-24,2287.50,LEGACY_IMPORTED,0,0,2150.25,2493.38,2653.50,2150.25,2287.50,2287.50,0.00,0,HOLD,,,,ACTIVE
CARBORUNIV.NS,Unknown,2026-06-24,1217.40,LEGACY_IMPORTED,0,0,1144.36,1326.97,1412.18,1144.36,1217.40,1217.40,0.00,0,HOLD,,,,ACTIVE
BELRISE.NS,Unknown,2026-06-24,241.70,LEGACY_IMPORTED,0,0,227.20,263.45,280.37,227.20,241.70,241.70,0.00,0,HOLD,,,,ACTIVE
ADANIPOWER.NS,Unknown,2026-06-24,231.95,LEGACY_IMPORTED,0,0,218.03,252.83,269.06,218.03,231.95,231.95,0.00,0,HOLD,,,,ACTIVE
THERMAX.NS,Unknown,2026-06-24,4782.20,LEGACY_IMPORTED,0,0,4495.27,5212.60,5547.35,4495.27,4782.20,4782.20,0.00,0,HOLD,,,,ACTIVE
HONASA.NS,Unknown,2026-06-24,417.85,LEGACY_IMPORTED,0,0,392.78,455.46,484.71,392.78,417.85,417.85,0.00,0,HOLD,,,,ACTIVE
